iter	Passed	Remaining
686	2693	1227
687	2696	1222
688	2699	1218
689	2702	1214
690	2704	1209
691	2707	1204
692	2709	1200
693	2711	1195
694	2716	1192
695	2718	1187
696	2721	1183
697	2723	1178
698	2726	1174
699	2729	1169
700	2731	1165
701	2734	1160
702	2736	1156
703	2739	1151
704	2741	1147
705	2744	1143
706	2747	1138
707	2750	1134
708	2752	1129
709	2756	1126
710	2759	1121
711	2764	1118
712	2767	1113
713	2773	1111
714	2780	1108
715	2783	1103
716	2786	1099
717	2789	1095
718	2791	1091
719	2796	1087
720	2798	1082
721	2800	1078
722	2805	1074
723	2810	1071
724	2815	1067
725	2817	1063
726	2822	1059
727	2826	1056
728	2828	1051
729	2834	1048
730	2837	1044
731	2839	1039
732	2847	1037
733	2849	1032
734	2853	1028
735	2859	1025
736	2861	1021
737	2868	1018
738	2870	1013
739	2873	1009
740	2878	1006
741	2880	1001
742	2883	997
743	2885	992
744	2891	989
745	2893	985
746	2896	980
747	2898	976
748	2902	972
749	2905	968
750	2908	964
751	2911	960
752	2913	955
753	2916	951
754	2918	947
755	2922	943
756	2924	938
757	2926	934
758	2928	929
759	2931	925
760	2933	921
761	2936	917
762	2938	912
763	2941	908
764	2944	904
765	2946	900
766	2948	895
767	2951	891
768	2954	887
769	2956	883
770	2959	878
771	2961	874
772	2963	870
773	2966	866
774	2968	861
775	2971	857
776	2973	853
777	2976	849
778	2979	845
779	2983	841
780	2985	837
781	2988	833
782	2991	828
783	2993	824
784	2995	820
785	2998	816
786	3001	812
787	3003	808
788	3010	804
789	3012	800
790	3014	796
791	3018	792
792	3023	789
793	3026	785
794	3032	782
795	3035	778
796	3039	774
797	3045	770
798	3050	767
799	3055	763
800	3059	760
801	3062	755
802	3068	752
803	3071	748
804	3073	744
805	3079	741
806	3088	738
807	3092	734
808	3095	730
809	3100	727
810	3103	723
811	3107	719
812	3109	715
813	3112	711
814	3116	707
815	3118	703
816	3121	699
817	3123	695
818	3128	691
819	3132	687
820	3134	683
821	3137	679
822	3139	675
823	3142	671
824	3144	667
825	3147	662
826	3149	658
827	3152	654
828	3154	650
829	3157	646
830	3159	642
831	3162	638
832	3164	634
833	3167	630
834	3169	626
835	3171	622
836	3174	618
837	3177	614
838	3179	610
839	3181	606
840	3183	601
841	3186	597
842	3188	593
843	3191	589
844	3193	585
845	3196	581
846	3198	577
847	3201	573
848	3203	569
849	3209	566
850	3214	562
851	3217	558
852	3222	555
853	3224	551
854	3227	547
855	3229	543
856	3234	539
857	3238	536
858	3241	532
859	3246	528
860	3249	524
861	3256	521
862	3261	517
863	3264	513
864	3270	510
865	3275	506
866	3283	503
867	3291	500
868	3294	496
869	3298	492
870	3301	488
871	3304	485
872	3308	481
873	3311	477
874	3314	473
875	3316	469
876	3318	465
877	3323	461
878	3326	457
879	3328	453
880	3332	450
881	3335	446
882	3338	442
883	3342	438
884	3345	434
885	3347	430
886	3350	426
887	3352	422
888	3355	418
889	3357	415
890	3362	411
891	3365	407
892	3368	403
893	3371	399
894	3373	395
895	3376	391
896	3378	387
897	3381	384
898	3383	380
899	3386	376
900	3388	372
901	3391	368
902	3393	364
903	3395	360
904	3398	356
905	3400	352
906	3403	348
907	3408	345
908	3411	341
909	3413	337
910	3416	333
911	3421	330
912	3423	326
913	3426	322
914	3429	318
915	3433	314
916	3435	310
917	3438	307
918	3443	303
919	3446	299
920	3449	295
921	3455	292
922	3457	288
923	3460	284
924	3464	280
925	3469	277
926	3471	273
927	3476	269
928	3480	266
929	3483	262
930	3487	258
931	3490	254
932	3493	250
933	3497	247
934	3501	243
935	3503	239
936	3506	235
937	3508	231
938	3512	228
939	3514	224
940	3517	220
941	3519	216
942	3522	212
943	3525	209
944	3528	205
945	3531	201
946	3534	197
947	3536	193
948	3539	190
949	3541	186
950	3544	182
951	3547	178
952	3549	175
953	3552	171
954	3554	167
955	3560	163
956	3567	160
957	3569	156
958	3572	152
959	3574	148
960	3577	145
961	3579	141
962	3582	137
963	3585	133
964	3587	130
965	3589	126
966	3594	122
967	3596	118
968	3601	115
969	3604	111
970	3608	107
971	3612	104
972	3616	100
973	3618	96
974	3622	92
975	3627	89
976	3630	85
977	3633	81
978	3638	78
979	3643	74
980	3648	70
981	3651	66
982	3654	63
983	3660	59
984	3662	55
985	3665	52
